DATE,TIME ,DATE & TIME,IMPORT,EXPORT,NORMALISED GHI,GHI,AIR TEMP,CLOUD OPACITY,RELATIVE HUMIDITY,WIND DIRECTION (10m),WIND SPEED (10m)
01-Jan-22,0:00:00,01/01/2022   00:00,0.3430,0.0000,0.0000,0,23.2,92.9,98,18,2.3
01-Jan-22,0:30:00,01/01/2022   00:30,0.3430,0.0000,0.0000,0,23.2,94.6,98.1,21,2
01-Jan-22,1:00:00,01/01/2022   01:00,0.4160,0.0000,0.0000,0,23.2,92.1,98,30,2
01-Jan-22,1:30:00,01/01/2022   01:30,0.2650,0.0000,0.0000,0,23.2,90.1,97.7,34,2.3
01-Jan-22,2:00:00,01/01/2022   02:00,0.3260,0.0000,0.0000,0,23,95.2,97.4,33,2.9
01-Jan-22,2:30:00,01/01/2022   02:30,0.2790,0.0000,0.0000,0,22.9,89.1,97.2,30,3.1
01-Jan-22,3:00:00,01/01/2022   03:00,0.2460,0.0000,0.0000,0,22.9,93.5,97.2,26,2.8
01-Jan-22,3:30:00,01/01/2022   03:30,0.2260,0.0000,0.0000,0,22.9,84.5,97,19,2.7
01-Jan-22,4:00:00,01/01/2022   04:00,0.2400,0.0000,0.0000,0,22.9,76.6,96.7,11,2.6
01-Jan-22,4:30:00,01/01/2022   04:30,0.1590,0.0000,0.0000,0,23,85.8,96.4,9,2.6
01-Jan-22,5:00:00,01/01/2022   05:00,0.2570,0.0000,0.0000,0,23,95.3,96.1,13,2.6
01-Jan-22,5:30:00,01/01/2022   05:30,0.1960,0.0000,0.0000,0,23,87.8,95.8,11,2.6
01-Jan-22,6:00:00,01/01/2022   06:00,0.1940,0.0000,0.0000,0,23,84.9,95.6,3,2.7
01-Jan-22,6:30:00,01/01/2022   06:30,0.2080,0.0000,0.0000,0,23.1,88.6,95.5,3,2.8
01-Jan-22,7:00:00,01/01/2022   07:00,0.1630,0.0000,0.0000,0,23.1,95,95.5,9,2.9
01-Jan-22,7:30:00,01/01/2022   07:30,0.3240,0.0000,0.0000,0,23.1,96.2,95.8,12,3
01-Jan-22,8:00:00,01/01/2022   08:00,0.1940,0.0000,0.0000,19,23.1,74.6,96.3,12,3
01-Jan-22,8:30:00,01/01/2022   08:30,0.2390,0.0000,0.0000,20,23.2,87.5,96.3,16,2.9
01-Jan-22,9:00:00,01/01/2022   09:00,0.1940,0.0000,0.0000,24,23.4,91.6,95.7,24,3
01-Jan-22,9:30:00,01/01/2022   09:30,0.2000,0.0000,0.0000,39,23.6,90.6,95.2,31,3.2
01-Jan-22,10:00:00,01/01/2022   10:00,0.2170,0.0000,0.0000,52,23.8,89.9,94.6,36,3.5
01-Jan-22,10:30:00,01/01/2022   10:30,0.2260,0.0000,0.0000,82,23.9,87,94.4,37,3.5
01-Jan-22,11:00:00,01/01/2022   11:00,0.3260,0.0000,0.0000,174,23.9,75.8,94.4,36,3.2
01-Jan-22,11:30:00,01/01/2022   11:30,0.3970,0.0000,0.0000,216,24,72.7,94.1,32,3
01-Jan-22,12:00:00,01/01/2022   12:00,0.4740,0.0000,0.0000,372,24.2,56.4,93.7,28,2.9
01-Jan-22,12:30:00,01/01/2022   12:30,0.2870,0.0000,0.0000,298,24.5,66.6,92.7,24,3
01-Jan-22,13:00:00,01/01/2022   13:00,0.2710,0.0000,0.0000,68,24.8,92.6,91.4,22,3.2
01-Jan-22,13:30:00,01/01/2022   13:30,0.2550,0.0000,0.0000,67,25.2,92.8,89.9,24,3.3
01-Jan-22,14:00:00,01/01/2022   14:00,0.2800,0.0000,0.0000,104,25.4,88.6,88.5,28,3.4
01-Jan-22,14:30:00,01/01/2022   14:30,0.2960,0.0000,0.0000,170,25.3,80.8,88.8,30,3.5
01-Jan-22,15:00:00,01/01/2022   15:00,0.3330,0.0000,0.0000,139,24.8,83.3,90.8,31,3.6
01-Jan-22,15:30:00,01/01/2022   15:30,0.2820,0.0000,0.0000,142,24.6,81.5,91.2,31,3.8
01-Jan-22,16:00:00,01/01/2022   16:00,0.2700,0.0000,0.0000,125,24.9,81.9,89.9,32,3.9
01-Jan-22,16:30:00,01/01/2022   16:30,0.2350,0.0000,0.0000,89,24.9,85.2,89.7,32,3.9
01-Jan-22,17:00:00,01/01/2022   17:00,0.6910,0.0000,0.0000,41,24.7,91.7,90.3,33,3.8
01-Jan-22,17:30:00,01/01/2022   17:30,0.3410,0.0000,0.0000,41,24.5,89.3,90.8,34,3.7
01-Jan-22,18:00:00,01/01/2022   18:00,0.2800,0.0000,0.0000,15,24.4,94.5,91.3,35,3.6
01-Jan-22,18:30:00,01/01/2022   18:30,0.2210,0.0000,0.0000,12,24.2,91.1,91.5,34,3.7
01-Jan-22,19:00:00,01/01/2022   19:00,0.5020,0.0000,0.0000,13,24,76.4,91.6,32,4
01-Jan-22,19:30:00,01/01/2022   19:30,0.7990,0.0000,0.0000,1,23.9,80.5,91.8,32,4
01-Jan-22,20:00:00,01/01/2022   20:00,0.6120,0.0000,0.0000,0,23.9,84.4,92.3,33,3.9
01-Jan-22,20:30:00,01/01/2022   20:30,0.3230,0.0000,0.0000,0,23.9,91.7,92.4,34,3.9
01-Jan-22,21:00:00,01/01/2022   21:00,1.0200,0.0000,0.0000,0,23.8,94.7,92.4,35,4
01-Jan-22,21:30:00,01/01/2022   21:30,0.7270,0.0000,0.0000,0,23.7,91.7,92.4,38,3.9
01-Jan-22,22:00:00,01/01/2022   22:00,0.6630,0.0000,0.0000,0,23.7,87.7,92.6,42,3.6
01-Jan-22,22:30:00,01/01/2022   22:30,0.3930,0.0000,0.0000,0,23.6,68.7,93.2,42,3.5
01-Jan-22,23:00:00,01/01/2022   23:00,0.3820,0.0000,0.0000,0,23.4,76.1,94.1,37,3.7
01-Jan-22,23:30:00,01/01/2022   23:30,0.3120,0.0000,0.0000,0,23.2,90.4,95,33,3.8
02-Jan-22,0:00:00,02/01/2022   00:00,0.2950,0.0000,0.0000,0,23.1,88.6,96,29,3.8
02-Jan-22,0:30:00,02/01/2022   00:30,0.4650,0.0000,0.0000,0,23,73.6,96.3,32,3.8
02-Jan-22,1:00:00,02/01/2022   01:00,0.4360,0.0000,0.0000,0,23,84.6,95.9,40,3.7
02-Jan-22,1:30:00,02/01/2022   01:30,0.2940,0.0000,0.0000,0,23,79,95.6,42,3.6
02-Jan-22,2:00:00,02/01/2022   02:00,0.2280,0.0000,0.0000,0,23,85.6,95.4,38,3.4
02-Jan-22,2:30:00,02/01/2022   02:30,0.2290,0.0000,0.0000,0,22.9,79.9,95.4,32,3.2
02-Jan-22,3:00:00,02/01/2022   03:00,0.1810,0.0000,0.0000,0,22.9,72.1,95.6,26,3
