DATE,TIME ,DATE & TIME,IMPORT,EXPORT,NORMALISED GHI,GHI,AIR TEMP,CLOUD OPACITY,RELATIVE HUMIDITY,WIND DIRECTION (10m),WIND SPEED (10m)
01-Jun-22,0:00:00,01/06/2022   00:00,0.3330,0.0000,0.0000,0,26.7,16.7,78.6,322,2.7
01-Jun-22,0:30:00,01/06/2022   00:30,0.2890,0.0000,0.0000,0,26.6,14.6,78.3,318,2.8
01-Jun-22,1:00:00,01/06/2022   01:00,0.6010,0.0000,0.0000,0,26.6,16.8,78,313,3
01-Jun-22,1:30:00,01/06/2022   01:30,0.4030,0.0000,0.0000,0,26.5,18.6,77.9,310,3.3
01-Jun-22,2:00:00,01/06/2022   02:00,0.5500,0.0000,0.0000,0,26.5,18.3,78.1,307,3.5
01-Jun-22,2:30:00,01/06/2022   02:30,0.4840,0.0000,0.0000,0,26.4,15.7,78.6,307,3.6
01-Jun-22,3:00:00,01/06/2022   03:00,0.2750,0.0000,0.0000,0,26.2,15.8,79.5,310,3.5
01-Jun-22,3:30:00,01/06/2022   03:30,0.2660,0.0000,0.0000,0,26,19.3,80.7,313,3.3
01-Jun-22,4:00:00,01/06/2022   04:00,0.2760,0.0000,0.0000,0,25.7,16.6,82.2,315,3.1
01-Jun-22,4:30:00,01/06/2022   04:30,0.2500,0.0000,0.0000,0,25.5,28.6,82.8,318,3
01-Jun-22,5:00:00,01/06/2022   05:00,0.3970,0.0000,0.0000,0,25.4,36.9,82.4,322,2.8
01-Jun-22,5:30:00,01/06/2022   05:30,0.3390,0.0000,0.0000,0,25.4,44,82.6,323,2.7
01-Jun-22,6:00:00,01/06/2022   06:00,0.3000,0.0000,0.0000,0,25.3,52.3,83.1,321,2.8
01-Jun-22,6:30:00,01/06/2022   06:30,0.2090,0.0000,0.0000,0,25.3,57.6,83.9,322,2.7
01-Jun-22,7:00:00,01/06/2022   07:00,0.2720,0.0000,0.0000,0,25.2,69.2,84.8,326,2.5
01-Jun-22,7:30:00,01/06/2022   07:30,0.2540,0.0000,0.0196,12,25.3,54.2,85,327,2.4
01-Jun-22,8:00:00,01/06/2022   08:00,0.1840,0.0000,0.1616,99,25.8,4.4,84.6,324,2.3
01-Jun-22,8:30:00,01/06/2022   08:30,0.1290,0.0000,0.2921,179,26.3,12.3,83,323,2.3
01-Jun-22,9:00:00,01/06/2022   09:00,0.0150,0.0980,0.3721,228,27.1,29.6,80.5,322,2.4
01-Jun-22,9:30:00,01/06/2022   09:30,0.0000,0.4360,0.6431,394,27.8,8.8,77.4,319,2.4
01-Jun-22,10:00:00,01/06/2022   10:00,0.0000,0.7540,0.8405,515,28.5,4.2,73.9,315,2.5
01-Jun-22,10:30:00,01/06/2022   10:30,0.0000,0.9030,1.0184,624,29.2,1.3,70.4,310,2.6
01-Jun-22,11:00:00,01/06/2022   11:00,0.0000,1.0180,1.1164,684,29.9,4.5,66.8,303,2.7
01-Jun-22,11:30:00,01/06/2022   11:30,0.0410,1.0450,1.1784,722,30.4,8.3,64.4,294,2.8
01-Jun-22,12:00:00,01/06/2022   12:00,0.0000,1.2310,1.2910,791,30.7,6.1,63,282,3
01-Jun-22,12:30:00,01/06/2022   12:30,0.0000,0.9140,1.0397,637,30.9,27.8,62.2,271,3.2
01-Jun-22,13:00:00,01/06/2022   13:00,0.0000,0.7070,1.0788,661,30.9,26.9,62,263,3.5
01-Jun-22,13:30:00,01/06/2022   13:30,0.0000,1.0830,1.1621,712,30.9,21.7,62.2,258,3.8
01-Jun-22,14:00:00,01/06/2022   14:00,0.0000,1.2910,1.2502,766,30.9,14.6,62.7,255,4
01-Jun-22,14:30:00,01/06/2022   14:30,0.0000,0.9380,1.0870,666,30.8,23.2,63.3,254,4.2
01-Jun-22,15:00:00,01/06/2022   15:00,0.2680,0.0730,0.7622,467,30.6,43.3,64,252,4.2
01-Jun-22,15:30:00,01/06/2022   15:30,1.0080,0.0000,0.1926,118,30.5,84.7,64.7,251,4.1
01-Jun-22,16:00:00,01/06/2022   16:00,0.9900,0.0000,0.0392,24,30.3,96.4,65.2,250,4
01-Jun-22,16:30:00,01/06/2022   16:30,0.5990,0.0060,0.1926,118,30.2,79.6,65.7,250,3.8
01-Jun-22,17:00:00,01/06/2022   17:00,0.1110,0.0000,0.3346,205,30,58,66.3,250,3.6
01-Jun-22,17:30:00,01/06/2022   17:30,0.0730,0.0030,0.2791,171,29.8,55.1,67.6,252,3.3
01-Jun-22,18:00:00,01/06/2022   18:00,0.0120,0.0460,0.1942,119,29.5,56.1,69.9,255,2.8
01-Jun-22,18:30:00,01/06/2022   18:30,0.0520,0.0220,0.1061,65,29,59.3,72.4,262,2.4
01-Jun-22,19:00:00,01/06/2022   19:00,0.2870,0.0000,0.0294,18,28.3,69.9,75.3,274,2
01-Jun-22,19:30:00,01/06/2022   19:30,1.4440,0.0000,0.0016,1,27.8,71.6,76.4,280,1.8
01-Jun-22,20:00:00,01/06/2022   20:00,1.3950,0.0000,0.0000,0,27.6,84.4,75.7,277,1.9
01-Jun-22,20:30:00,01/06/2022   20:30,1.3700,0.0000,0.0000,0,27.5,72.9,75.5,276,1.9
01-Jun-22,21:00:00,01/06/2022   21:00,1.3820,0.0000,0.0000,0,27.4,74.9,75.8,278,1.8
01-Jun-22,21:30:00,01/06/2022   21:30,1.3790,0.0000,0.0000,0,27.3,59.7,76.1,283,1.6
01-Jun-22,22:00:00,01/06/2022   22:00,1.0700,0.0000,0.0000,0,27.1,44,76.4,293,1.4
01-Jun-22,22:30:00,01/06/2022   22:30,0.7530,0.0000,0.0000,0,27,43.9,76.8,307,1.2
01-Jun-22,23:00:00,01/06/2022   23:00,0.6960,0.0000,0.0000,0,26.9,42.2,77.3,324,1.2
01-Jun-22,23:30:00,01/06/2022   23:30,0.4380,0.0000,0.0000,0,26.8,42.4,78,342,1.3
02-Jun-22,0:00:00,02/06/2022   00:00,0.3530,0.0000,0.0000,0,26.6,38.3,78.9,358,1.6
02-Jun-22,0:30:00,02/06/2022   00:30,0.3280,0.0000,0.0000,0,26.4,34.5,79.6,2,1.7
02-Jun-22,1:00:00,02/06/2022   01:00,0.5430,0.0000,0.0000,0,26.2,41.4,80,359,1.6
02-Jun-22,1:30:00,02/06/2022   01:30,0.4840,0.0000,0.0000,0,26.1,43.3,80.3,356,1.4
02-Jun-22,2:00:00,02/06/2022   02:00,0.2410,0.0000,0.0000,0,25.9,43.9,80.7,351,1.1
02-Jun-22,2:30:00,02/06/2022   02:30,0.3000,0.0000,0.0000,0,25.8,34.5,80.7,336,0.9
02-Jun-22,3:00:00,02/06/2022   03:00,0.2950,0.0000,0.0000,0,25.8,32.1,80.3,310,0.9
02-Jun-22,3:30:00,02/06/2022   03:30,0.2540,0.0000,0.0000,0,25.8,38.1,79.7,292,1
